Year	B23_12
2011	-32.44
2010	-35.62
2009	-32.19
2008	-33.34
2007	-36.54
2006	-35.91
2005	-35.77
2004	-35.26
2003	-35.57
2002	-33.24
2001	-32.97
2000	-33.79
1999	-34.32
1998	-32.35
1997	-35.16
1996	-39.42
1995	-39.14
1994	-34.8
1993	-34.92
1992	-34.89
1991	-36.53
1990	-37.92
1989	-38.06
1988	-35.78
1987	-37.71
1986	-38.78
1985	-33.81
1984	-35.94
1983	-36.97
1982	-32.85
1981	-33.21
1980	-36.84
1979	-36.69
1978	-33.71
1977	-34.43
1976	-38.79
1975	-38.31
1974	-35.82
1973	-36.7
1972	-35.77
1971	-36.46
1970	-34.71
1969	-34.23
1968	-33.46
1967	-35.4
1966	-35.11
1965	-34.95
1964	-35.45
1963	-34.36
1962	-35.37
1961	-35.12
1960	-34.77
1959	-35.12
1958	-35.04
1957	-35.48
1956	-36.04
1955	-35.65
1954	-36.76
1953	-36.23
1952	
1951	
1950	
1949	-36.18
1948	-35.45
1947	-38.21
1946	-38.05
1945	-35.94
1944	-34.87
1943	-37.96
1942	-39.56
1941	-37.47
1940	-35.39
1939	-34
1938	-35.07
1937	-35.7
1936	-36.46
1935	-36.5
1934	-35.64
1933	-35.67
1932	-34.81
1931	-35.32
1930	-36.1
1929	-35.84
1928	-35
1927	-34.65
1926	-32.91
1925	-32.65
1924	-35
1923	-36.22
1922	-36.46
1921	-35.44
1920	-34.31
1919	-35.75
1918	-37.25
1917	-36.86
1916	-36.11
1915	-36.02
1914	-35.03
1913	-35.45
1912	-36.29
1911	-33.66
1910	-35.5
1909	-35.76
1908	-34.5
1907	-36.93
1906	-37.77
1905	-37.32
1904	-35.18
1903	-34.22
1902	-33.2
1901	-32.36
1900	-34.72
1899	-36.07
1898	-37.61
1897	-37.75
1896	-37.15
1895	-34.62
1894	-32.62
1893	-33.02
1892	-34.22
1891	-36.53
1890	-35.82
1889	-33.93
1888	-35.32
1887	-37.86
1886	-37.3
1885	-35.33
1884	-35.17
1883	-35.13
1882	-35.49
