Year	B18_12
2011	-36.84
2010	-31.31
2009	-33.01
2008	-32.97
2007	-36.97
2006	-35.62
2005	-35.48
2004	-35.2
2003	-35.07
2002	-33.7
2001	-36.23
2000	-36.45
1999	-37.22
1998	-35.79
1997	-37.25
1996	-36.98
1995	-37.86
1994	-35.89
1993	-36.17
1992	-40.41
1991	-38.72
1990	-33.86
1989	-35.88
1988	-36.33
1987	-37.74
1986	-37.85
1985	-36.19
1984	-34.68
1983	-34.88
1982	-38.4
1981	-38.91
1980	-37.58
1979	-39.66
1978	-39.91
1977	-37.36
1976	-35.6
1975	-36.56
1974	-40.18
1973	-40.57
1972	-37.68
1971	-37
1970	-35.36
1969	-36.7
1968	-36.23
1967	-36.68
1966	-36.65
1965	-36.09
1964	-36.12
1963	-34.59
1962	-34.7
1961	-36.15
1960	-36.24
1959	-35.39
1958	-36.42
1957	-36.15
1956	-34.79
1955	-36.18
1954	-37.6
1953	-37.25
1952	-36.33
1951	-35.56
1950	-35.21
1949	-35.79
1948	-37.98
1947	-37.2
1946	-38.61
1945	-38.78
1944	-37.26
1943	-36.61
1942	-36.64
1941	-37.13
1940	-36.91
1939	-35.95
1938	-35.8
1937	-36.77
1936	-38.01
1935	-36.27
1934	-34.82
1933	-35.04
1932	-36.91
1931	-36.68
1930	-35.2
1929	-35.98
1928	-36.16
1927	-34.32
1926	-34.67
1925	-34.5
1924	-36.67
1923	-37.98
1922	-36.99
1921	-36.11
1920	-35.56
1919	-37.33
1918	-38
1917	-38.09
1916	-36.78
1915	-35.08
1914	-37.62
1913	-37.95
1912	-35.42
1911	-35.32
1910	-35.6
1909	-35.82
1908	-35.27
1907	-35.63
1906	-39.02
1905	-38.35
1904	-36.15
1903	-36.12
1902	-37.26
1901	-38.34
1900	-37.17
1899	-35.55
1898	-36.83
1897	-37.55
1896	-36.97
1895	-36.15
1894	-36.53
1893	-36.05
1892	-34.76
1891	-34.73
1890	-35.43
1889	-36.77
1888	-38.02
1887	-37.52
1886	-37.37
1885	-37.69
1884	-38.24
1883	-37.34
1882	-36.68
1881	-35.59
1880	-33.74
1879	-34.08
1878	-34.63
1877	-32.63
1876	-33.15
1875	-34.15
1874	-35.19
1873	-35.5
1872	-34.5
1871	-35.45
1870	-37.91
1869	-39.44
1868	-38.39
1867	-37.11
1866	-36.69
1865	-37
