Year (AD)	B21_2012 topdepth (m)	B21_2012 bottomdepth (m)
2012		0.0425755
2011	0.0425755	0.44893
2010	0.44893	0.71984
2009	0.71984	1.0645
2008	1.0645	1.30319
2007	1.30319	1.74143
2006	1.74143	2.02128
2005	2.02128	2.31915
2004	2.31915	2.55319
2003	2.55319	2.95745
2002	2.95745	3.3478
2001	3.3478	3.535
2000	3.535	3.86957
1999	3.86957	4.3
1998	4.3	4.74
1997	4.74	4.92
1996	4.92	5.28571
1995	5.28571	5.6714
1994	5.6714	6
1993	6	6.26
1992	6.26	6.38
1991	6.38	6.8
1990	6.8	7
1989	7	7.14
1988	7.14	7.48
1987	7.48	7.84
1986	7.84	8.2
1985	8.2	8.42
1984	8.42	8.66
1983	8.66	8.82
1982	8.82	9.02
1981	9.02	9.18
1980	9.18	9.28
1979	9.28	9.46
1978	9.46	9.585
1977	9.585	9.725
1976	9.725	9.995
1975	9.995	10.115
1974	10.115	10.3
1973	10.3	10.4
1972	10.4	10.66
1971	10.66	10.86
1970	10.86	10.98
1969	10.98	11.1
1968	11.1	11.26
1967	11.26	11.435
1966	11.435	11.62
1965	11.62	11.74
1964	11.74	11.895
1963	11.895	12.08
1962	12.08	12.31
1961	12.31	12.44
1960	12.44	12.72
1959	12.72	12.9
1958	12.9	13
1957	13	13.13
1956	13.13	13.32
1955	13.32	13.52
1954	13.52	13.74
1953	13.74	14
1952	14	14.16
1951	14.16	14.34
1950	14.34	14.55
1949	14.55	14.72
1948	14.72	14.84
1947	14.84	14.98
1946	14.98	15.16
1945	15.16	15.34
1944	15.34	15.54
1943	15.54	15.76
1942	15.76	15.98
1941	15.98	16.16
1940	16.16	16.46
1939	16.46	16.76
1938	16.76	17
1937	17	17.145
1936	17.145	17.3
1935	17.3	17.595
1934	17.595	17.82
1933	17.82	18.04
1932	18.04	18.24
1931	18.24	18.44
1930	18.44	18.62
1929	18.62	18.86
1928	18.86	19.1
1927	19.1	19.26
1926	19.26	19.5
1925	19.5	19.72
1924	19.72	19.89
1923	19.89	20.08
1922	20.08	20.22
1921	20.22	20.36
1920	20.36	20.62
1919	20.62	20.88
1918	20.88	21.02
1917	21.02	21.2
1916	21.2	21.42
1915	21.42	21.76
1914	21.76	22.18
1913	22.18	22.46
1912	22.46	22.7
1911	22.7	23.02
1910	23.02	23.54
1909	23.54	23.72
1908	23.72	24.04
1907	24.04	24.34
1906	24.34	24.58
1905	24.58	24.88
1904	24.88	25.02
1903	25.02	25.26
1902	25.26	25.48
1901	25.48	25.68
1900	25.68	25.88
1899	25.88	26.18
1898	26.18	26.48
1897	26.48	26.86
1896	26.86	27.32
1895	27.32	27.66
1894	27.66	27.86
1893	27.86	28.36
1892	28.36	28.62
1891	28.62	28.92
1890	28.92	29.18
1889	29.18	29.6
1888	29.6	29.84
1887	29.84	30.04
1886	30.04	
