Year (AD)	B23_2012 topdepth (m)	B23_2012 bottomdepth (m)
2012		0.17684
2011	0.17684	0.68526
2010	0.68526	1.2367
2009	1.2367	1.6675
2008	1.6675	2.0213
2007	2.0213	2.2979
2006	2.2979	2.617
2005	2.617	3.0833
2004	3.0833	3.375
2003	3.375	3.5417
2002	3.5417	3.7708
2001	3.7708	4.1224
2000	4.1224	4.551
1999	4.551	4.898
1998	4.898	5.2449
1997	5.2449	5.4694
1996	5.4694	5.6122
1995	5.6122	5.8571
1994	5.8571	6.2
1993	6.2	6.4
1992	6.4	6.68
1991	6.68	6.8
1990	6.8	7.16
1989	7.16	7.42
1988	7.42	7.62
1987	7.62	7.84
1986	7.84	7.98
1985	7.98	8.22
1984	8.22	8.48
1983	8.48	8.74
1982	8.74	9
1981	9	9.16
1980	9.16	9.46
1979	9.46	9.72
1978	9.72	10.04
1977	10.04	10.22
1976	10.22	10.46
1975	10.46	10.7
1974	10.7	10.92
1973	10.92	11.14
1972	11.14	11.38
1971	11.38	11.56
1970	11.56	11.96
1969	11.96	12.22
1968	12.22	12.52
1967	12.52	12.76
1966	12.76	12.96
1965	12.96	13.26
1964	13.26	13.52
1963	13.52	13.74
1962	13.74	13.92
1961	13.92	14.12
1960	14.12	14.4
1959	14.4	14.7
1958	14.7	14.9
1957	14.9	15.16
1956	15.16	15.3
1955	15.3	15.52
1954	15.52	15.78
1953	15.78	16.06
1952	16.06	16.38
1951	16.38	16.66
1950	16.66	16.88
1949	16.88	17.04
1948	17.04	17.24
1947	17.24	17.46
1946	17.46	17.7
1945	17.7	17.9
1944	17.9	18.28
1943	18.28	18.46
1942	18.46	18.68
1941	18.68	18.9
1940	18.9	19.06
1939	19.06	19.32
1938	19.32	19.6
1937	19.6	19.9
1936	19.9	20.06
1935	20.06	20.24
1934	20.24	20.42
1933	20.42	20.58
1932	20.58	20.815
1931	20.815	20.92
1930	20.92	21.08
1929	21.08	21.2
1928	21.2	21.4
1927	21.4	21.58
1926	21.58	21.84
1925	21.84	22.02
1924	22.02	22.36
1923	22.36	22.5
1922	22.5	22.62
1921	22.62	22.81
1920	22.81	23.02
1919	23.02	23.18
1918	23.18	23.34
1917	23.34	23.54
1916	23.54	23.86
1915	23.86	24.14
1914	24.14	24.28
1913	24.28	24.62
1912	24.62	24.86
1911	24.86	25.24
1910	25.24	25.44
1909	25.44	25.68
1908	25.68	25.88
1907	25.88	26.08
1906	26.08	26.38
1905	26.38	26.58
1904	26.58	26.74
1903	26.74	26.98
1902	26.98	27.2
1901	27.2	27.44
1900	27.44	27.6
1899	27.6	27.78
1898	27.78	27.94
1897	27.94	28.18
1896	28.18	28.36
1895	28.36	28.6
1894	28.6	28.78
1893	28.78	28.9
1892	28.9	29.02
1891	29.02	29.16
1890	29.16	29.36
1889	29.36	29.52
1888	29.52	29.72
1887	29.72	29.88
1886	29.88	30.08
1885	30.08	30.24
1884	30.24	30.36
1883	30.36	30.54
1882	30.54	30.72
1881	30.72	
